id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID,Scholarly_bin,Digital_bin,Edition_bin,Edition_not_provided,Philological_statement_no,Philological_statement_not_provided,Philological_statement_partly,Philological_statement_yes,Account_of_textual_variance_no,Account_of_textual_variance_not_provided,Account_of_textual_variance_partly,Account_of_textual_variance_yes,XML_TEI_Transcription_no,XML_TEI_Transcription_not_provided,XML_TEI_Transcription_partly,XML_TEI_Transcription_yes,XML__TEI__available_to_download_no,XML__TEI__available_to_download_not_provided,XML__TEI__available_to_download_partly,XML__TEI__available_to_download_yes,Images_no,Images_not_provided,Images_partly,Images_yes,Zoom_images_bin,Zoom_images_not_provided,Image_manipulation__brightness__rotation__etc___bin,Image_manipulation__brightness__rotation__etc___not_provided,Text_Image_Linking_no,Text_Image_Linking_not_provided,Text_Image_Linking_partly,Text_Image_Linking_yes,Glossary_bin,Glossary_not_provided,Indices_no,Indices_not_provided,Indices_partly,Indices_yes,String_matching_bin,String_matching_not_provided,Advanced_search_bin,Advanced_search_not_provided,Creative_Commons_License_no,Creative_Commons_License_partly,Creative_Commons_License_yes,Linked_Open_Data_bin,Linked_Open_Data_not_provided,API_bin,API_not_provided,Crowdsourcing_no,Crowdsourcing_not_provided,Crowdsourcing_partly,Crowdsourcing_yes,Feedback_no,Feedback_not_provided,Feedback_partly,Feedback_yes,Technological_statement_no,Technological_statement_not_provided,Technological_statement_partly,Technological_statement_yes,Links to ext. resources_bin,Mobile friendly/application_bin,Current availability_bin,Citation_bin,Citation_not_provided,Historical_Period_Antiquity,Historical_Period_Antiquity__Middle_Ages,Historical_Period_Contemporary,Historical_Period_Early_Modern,Historical_Period_Early_Modern__Long_Nineteenth_Century,Historical_Period_Early_Modern__Long_Nineteenth_Century__Modern__Contemporary,Historical_Period_Early_Modern_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century__Modern,Historical_Period_Long_Nineteenth_century,Historical_Period_Middle_Ages,Historical_Period_Middle_Ages__Early_Modern,Historical_Period_Modern,Historical_Period_Modern__Contemporary,Value_of_witnesses_0_5__1,Value_of_witnesses_no,Value_of_witnesses_not_provided,Value_of_witnesses_partly,Value_of_witnesses_yes,Open_source_Open_access_Open_Access_and_Open_Source__all_data,Open_source_Open_access_Open_Access_and_Open_Source__some_data,Open_source_Open_access_no,Open_source_Open_access_not_provided,Open_source_Open_access_partly,Open_source_Open_access_yes,OCR_or_keyed__Keyed,OCR_or_keyed__Keyed__OCR,OCR_or_keyed__OCR,OCR_or_keyed__OCR__Keyed,OCR_or_keyed__OCR_Keyed,OCR_or_keyed__not_provided,Print_friendly_view_forthcoming,Print_friendly_view_no,Print_friendly_view_not_provided,Print_friendly_view_partly,Print_friendly_view_trial,Print_friendly_view_yes,Print_facsimile__complementary_output__forthcoming,Print_facsimile__complementary_output__no,Print_facsimile__complementary_output__not_provided,Print_facsimile__complementary_output__partly,Print_facsimile__complementary_output__yes,RIDE_review_10_18716_ride_a_13_4,RIDE_review_http___ride_i_d_e_de_issues_issue_1_codex_sinaiticus,RIDE_review_http___ride_i_d_e_de_issues_issue_1_nietzschesource,RIDE_review_http___ride_i_d_e_de_issues_issue_2_becerro_galicano,RIDE_review_http___ride_i_d_e_de_issues_issue_2_fleischmann_diaries,RIDE_review_http___ride_i_d_e_de_issues_issue_3_godwin,RIDE_review_http___ride_i_d_e_de_issues_issue_5_jane_austens_fiction_manuscripts,RIDE_review_https___ride_i_d_e_de_issues_issue_17_okopenko,RIDE_review_https___ride_i_d_e_de_issues_issue_5_damaboba,RIDE_review_no,Sahle_Catalog_https___digitale_edition_de_e613,Sahle_Catalog_https___digitale_edition_de_e820,Sahle_Catalog_https___digitale_edition_de_e825,Sahle_Catalog_no,Sahle_Catalog_not_provided,Sahle_Catalog_yes,Historical_Period_code,period_start,period_end,author,phil_direction,description,keywords,authoritativeness_score,renown_score
86,Antiquity,not provided,Inscriptiones Graecae in Croatia Repertae (IGCR),http://www.ffzg.unizg.hr/klafil/dokuwiki/doku.php/z:epidoc-hrvatska,yes,yes,yes,GRC,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,not provided,not provided,Nino Zubović,University of Zagreb,not provided,partly,not provided,yes,yes,no,no,no,no,no,not provided,HRV,no,no,yes,no,yes,yes,no,no,no,no,no,yes,Keyed,no,not provided,not provided,Various,Various,Department of Classical Philology of the Faculty of Humanities and Social Sciences at the University of Zagreb,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0D5-9,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,Not specified (Inscribers),Ancient Greek Epigraphy,"A digital corpus of Greek inscriptions found in the territory of modern Croatia, documenting the Greek presence on the Adriatic coast.",Epigraphy # History # Archaeology # Geography # Genealogy,55.0,28.0
87,Middle Ages,1317-1468,The Gascon Rolls Project,http://www.gasconrolls.org/en/,yes,yes,yes,LAT,Roll,2008,present,Paul Spence,King's College London (Department of Digital Humanities); University of Liverpool,General public,partly,not provided,yes,yes,no,yes,yes,no,no,not provided,ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,partly,no,Keyed,yes,not provided,not provided,The National Archives,South-western France (Aquitaine),Laboratoire d'excellence LaScArBx; Banque Numérique des Savoirs d'Aquitaine; Chateau Ausone (Saint-Emilion) and Jonathan Sumption,not provided,Django; Kiln; Mezzanine; Bootstrap,no,no,yes,not provided,21.11115/0000-000B-D0D6-8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1317,1468,Not specified (Royal Clerks),Medieval Administrative Records,"A calendar and edition of the Gascon Rolls, recording the English administration of the Duchy of Aquitaine (Gascony) from 1317 to 1468.",Administration # Law # History # Diplomacy # Politics,20.0,50.0
88,Middle Ages,15th,The Hengwrt Chaucer Digital Facsimile,http://www.sd-editions.com/AnaAdditional/HengwrtEx/images/hgopen.html,yes,yes,yes,ENM,Manuscript,not provided,not provided,Peter Robinson,University of Birmingham,not provided,partly,not provided,not provided,yes,no,yes,yes,no,no,not provided,ENG,no,no,yes,yes,no,no,no,no,no,no,no,no,Keyed,no,not provided,not provided,National Library of Wales,England,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0D7-7,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1401,1500,Geoffrey Chaucer,Middle English Poetry,"High-resolution images and transcripts of the Hengwrt manuscript of the Canterbury Tales, considered one of the most textually accurate early copies.",Poetry # Manuscript # Philology # Art # Paleography,40.0,78.0
89,Long Nineteenth Century,1767-1974,Carl-Maria-von-Weber-Gesamtausgabe,http://www.weber-gesamtausgabe.de/en/Index,yes,yes,yes,GER,Manuscript; Letter; Diary; Draft; Journal,not provided,present,Joachim Veit; Peter Stadler,University of Paderborn; Staatsbibliothek Berlin Preußischer Kulturbesitz,not provided,yes,yes,yes,yes,yes,yes,yes,no,no,not provided,GER; ENG (partial),no,yes,yes,yes,yes,Open Access and Open Source (some data),no,yes,no,yes,partly,yes,Keyed,yes,no,no,Various,Various,Akademie der Wissenschaften und der Literatur Mainz,not provided,EXist-db; XSLT; XQuery,yes,no,yes,not provided,21.11115/0000-000B-D0D8-6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1767,1974,Carl Maria von Weber,Romantic Music,"A complete critical edition of the musical works, letters, and diaries of the composer Carl Maria von Weber.",Music # Correspondence # Diary # Biography # Art,20.0,15.0
90,Long Nineteenth Century,1871,Livingstone's 1871 Field Diary,http://livingstone.library.ucla.edu/1871diary/manuscript1.htm,yes,yes,yes,ENG,Diary,not provided,2013,Adrian S. Wisnicki,University of California; Indiana University of Pennsylvania; Birkbeck College; Rochester Institute of Technology; Edinburgh Napier University,not provided,yes,not provided,yes,yes,yes,yes,yes,no,no,no,ENG,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,Keyed,no,yes,not provided,Various,Various,National Endowment for the Humanities; British Academy,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0D9-5,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1871,1871,David Livingstone,19th Century Exploration,"A multispectral imaging project recovering the faded text of Livingstone's field diary from 1871, written on newspaper scraps in berry juice.",Exploration # Diary # Science # Geography # Manuscript,35.0,70.0
91,Antiquity,not provided,Hyperdonat,http://hyperdonat.ens-lyon.fr/,yes,yes,yes,LAT,Edition,2007,present,Bruno Bureau,Université Jean Moulin Lyon 3; Université d'Angers; École Normale Supérieure de Lyon; École Nationale Supérieure des Sciences de l'Information et des Bibliothèques (ENSSIB); École de l’Innovation et de l’Expertise Informatique (EPITECH),not provided,partly,not provided,not provided,yes,no,no,not provided,not provided,not provided,not provided,FRE,no,no,no,no,yes,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Various,Région Rhône-Alpes; ENS de Lyon; Atelier des Humanités Numériques; UMR 5189 (HiSoMA),not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0DA-4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,Aelius Donatus,Late Antique Grammar,"A hypertext edition of the commentaries on Terence attributed to the grammarian Donatus, exploring the history of Latin scholarship.",Commentary # Grammar # Education # Drama # Philology,6.0,10.0
92,Antiquity,2nd-12th,Inscriptions of Aphrodisias Project,http://insaph.kcl.ac.uk/index.html,yes,yes,yes,GRC,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,2002,2006,Charlotte Roueché,King's College London (Department of Classics); King's College London (Department of Digital Humanities); University of Heidelberg; University College London; University of North Carolina,not provided,yes,partly,yes,yes,yes,yes,no,no,no,no,ENG,yes,yes,yes,no,yes,Open Access and Open Source (some data),yes,no,no,no,yes,yes,Keyed,no,yes,not provided,Aphrodisias,"Aphrodisias, Turkey",Leverhulme Trust,"£250,000.00",xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D0DB-3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,101,1200,Not specified (Inscribers),Classical/Byzantine Epigraphy,"A complete digital corpus of the inscriptions from the ancient city of Aphrodisias in Turkey, covering the Roman and Byzantine periods.",Epigraphy # Archaeology # History # Politics # Sociology,35.0,45.0
93,Antiquity,1st BC-4th AD,Inscriptions of Roman Cyrenaica,http://ircyr.kcl.ac.uk/,yes,yes,yes,GRC; LAT,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,2007,2010,Charlotte Roueché,King's College London (Department of Classics); King's College London (Department of Digital Humanities); Department of Antiquities (Libya); University of North Carolina; British School at Rome,not provided,partly,not provided,yes,yes,no,no,no,no,no,not provided,ENG,no,no,yes,no,yes,no,no,no,no,no,no,yes,Keyed,no,not provided,not provided,not provided,"Cyrene, Libya",Leverhume Trust,not provided,xMod (KCL custom),no,no,yes,not provided,21.11115/0000-000B-D0DC-2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-100,400,Not specified (Inscribers),Classical Epigraphy,A comprehensive collection of Greek and Latin inscriptions from the Roman province of Cyrenaica (modern Libya).,Epigraphy # Archaeology # History # Administration # Law,30.0,25.0
94,Antiquity,1st BC-8th AD,Inscriptions of Roman Tripolitania,http://irt.kcl.ac.uk/irt2009/,yes,yes,no,LAT,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,not provided,2009,Charlotte Roueché,King's College London (Department of Classics); King's College London (Department of Digital Humanities); British School at Rome,not provided,yes,not provided,partly,yes,no,yes,no,no,no,no,ENG,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,Keyed,no,yes,yes,not provided,"Tripoli, Libya",JISC; The Leverhulme Trust; National Endowment for the Humanities,not provided,xMod (KCL custom),no,no,yes,not provided,21.11115/0000-000B-D0DD-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-100,800,Not specified (Inscribers),Classical Epigraphy,"A digital edition of the inscriptions from Roman Tripolitania (western Libya), updating the standard printed corpus with new finds.",Epigraphy # Archaeology # History # Administration # Law,45.0,25.0
95,Middle Ages,840-912,e-sequence: Digital Edition of the Saint Gall corpus of Sequences by Notker Balbulus,http://www.e-sequence.eu/en/,no,yes,yes,LAT,Manuscript,not provided,not provided,Christoph Flüeler,University of Fribourg; Christophorus Records; Musikwissenschaftliches Institut der Universität Tübingen; Stiftsbibliothek St. Gallen; Südwest-Rundfunk Tübingen,Musicologists and manuscript researchers; general public,partly,not provided,yes,no,no,yes,yes,no,no,GER,GER; ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,yes,not provided,yes,Abbey of Saint Gall,Abbey of St. Gall,Accentus Foundation; Ernst Goehner Foundation,"20,000 CHF",CodeIgniter; HTML5; PHP; MySQL; jQuery; jPlayer,yes,no,no,not provided,21.11115/0000-000B-D0DE-0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,840,912,Notker Balbulus,Medieval Liturgy/Music,"A critical edition of the sequences (liturgical chants) composed by the monk Notker of St. Gall, integrating text and music.",Music # Liturgy # Poetry # Manuscript # Theology,66.0,35.0
96,Early Modern,1633,Phineas Fletcher's Sylva Poetica,http://www.philological.bham.ac.uk/sylva/,yes,yes,yes,LAT,Manuscript,1998,1999,Dana Sutton,University of California Irvine,not provided,partly,not provided,not provided,no,no,no,no,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,yes,no,yes,Keyed,yes,not provided,not provided,University of Cambridge,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0DF-F,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1633,1633,Phineas Fletcher,Neo-Latin Poetry,An edition of the Latin poetry collection Sylva Poetica by the 17th-century English poet Phineas Fletcher.,Poetry # Translation # Philology # Mythology # Religion,20.0,70.0
97,Early Modern,17th-18th,The Latin Prose and Poetry of Joseph Addison,http://www.philological.bham.ac.uk/Addison/,yes,yes,yes,LAT,Manuscript,1997,2005,Dana Sutton,University of California Irvine,not provided,partly,not provided,not provided,no,no,no,no,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,yes,no,yes,Keyed,yes,not provided,not provided,not provided,England,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0E0-C,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1601,1800,Joseph Addison,Neo-Latin Literature,"A collection of the Latin writings of the essayist Joseph Addison, showcasing his classical learning and poetic skill.",Poetry # Rhetoric # Criticism # Philology # History,10.0,70.0
98,Long Nineteenth Century,1869,"History in the Making: preparation of a genetic edition, dataset and hypertext of Part III, Chapter 1 of Flaubert's L'Education Sentimentale",http://www.hull.ac.uk/hitm/,no,yes,yes,FRE,Manuscript; Folio; Draft; Sketch; Plan,not provided,not provided,David Williams,University of Hull,not provided,partly,not provided,not provided,no,no,yes,no,no,no,not provided,ENG,not provided,not provided,no,no,no,yes,not provided,not provided,no,not provided,no,no,Keyed,no,not provided,not provided,not provided,France,Arts and Humanities Research Board; University of Hull; Leverhulme Trust,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E1-B,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1869,1869,Gustave Flaubert,19th Century Novel,"A genetic edition of a specific chapter of L'Éducation sentimentale, visualizing the complex drafting process of Flaubert's manuscript.",Novel # Manuscript # Criticism # Philology # Art,55.0,18.0
99,Middle Ages,15th,An electronic corpus of 15th century Castillian canconiero manuscripts,http://cancionerovirtual.liv.ac.uk/,yes,yes,no,SPA,Manuscript,not provided,not provided,Dorothy Severin,University of Liverpool; University of Birmingham; Universitat de Barcelona,not provided,yes,not provided,yes,yes,no,partly,no,no,no,not provided,ENG,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,University of Salamanca,Italy; Spain; France; United Kingdom; USA,AHRC; MHRA; University of Liverpool,not provided,Collate; BBEdit; Anstasia; Apache,no,no,no,not provided,21.11115/0000-000B-D0E2-A,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1401,1500,Not specified (Poets),Medieval Spanish Poetry,"A digital archive of the cancioneros, the songbooks that preserved the courtly lyric poetry of 15th-century Castile.",Poetry # Song # Manuscript # Sociology # History,40.0,18.0
100,Antiquity,2nd,"Galenus' commentary on Hippocrates' ""On the articulations""",http://pom.bbaw.de/cmg/,yes,yes,yes,GRC,Manuscript,not provided,not provided,Günter Stock,Berlin-Brandenburgische Akademie der Wissenschaften,not provided,partly,not provided,yes,no,no,no,no,no,no,no,GER,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,not provided,Berlin-Brandenburgische Akademie der Wissenschaften,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0E3-9,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,101,200,Galen,Ancient Medicine,"An edition of the Arabic translation of Galen's commentary on Hippocrates' treatise on joints, critical for the history of medicine.",Medicine # Commentary # Translation # Science # History,66.0,80.0
101,Middle Ages,9th,Edition der falschen Kapitularien des Benedictus Levita,http://www.benedictus.mgh.de/,yes,yes,yes,LAT,Manuscript,1998,present,Gerhard Schmitz;Veronika Lukas,Monumenta Germaniae Historica,scholars,partly,yes,yes,no,no,partly,yes,no,no,no,GER,no,no,yes,no,no,yes,no,no,no,yes,partly,yes,Keyed,no,yes,yes,Bibliothèque Nationale de France; Biblioteca Apostolica Vaticana; Monserrat BA; Troyes BM,Various,not provided,not provided,JavaScript; HTML; PHP; TUSTEP; Python,yes,no,yes,not provided,21.11115/0000-000B-D0E4-8,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,801,900,Benedictus Levita,Medieval Canon Law,"A scholarly edition of the False Capitularies, a famous 9th-century forgery of church law attributed to a fictitious deacon named Benedict.",Law # Religion # Politics # Manuscript # Forgery,15.0,8.0
102,Antiquity,744 BC-669 BC,The Royal Inscriptions of the Neo-Assyrian Period,http://oracc.museum.upenn.edu/rinap/,yes,yes,yes,ARA; ARC; SYC; PER,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,2007,2017,Grant Frame,University of Pennsylvania,Scholars; students; general public,partly,not provided,yes,partly,no,no,no,no,no,not provided,ENG,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,Keyed,no,yes,yes,Various,"Iraq, Syria, Iran, Turkey, and other parts of the Middle East",National Endowment for the Humanities,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E5-7,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-744,-669,Not specified (Scribes),Ancient Near Eastern Epigraphy,"A standardized online corpus of the royal inscriptions of the Neo-Assyrian kings, recording their military campaigns and building projects.",Epigraphy # History # War # Politics # Archaeology,35.0,75.0
