id,Edition name,Author Name (of Original Work),Philosophical/Artistic Direction,Content Description
41,Corpus of the Inscriptions of Campā (CIC),Not specified (Inscribers),Southeast Asian Epigraphy,"A collection of Sanskrit and vernacular inscriptions from the ancient Kingdom of Champa (modern Vietnam), documenting its political and religious history."
42,Dante Online,Dante Alighieri,Medieval Italian Poetry,"A digital library containing the complete works of Dante Alighieri in the original Italian, accompanied by search tools and critical apparatus."
43,Darwin Correspondence Project,Charles Darwin,19th Century Science,"The complete correspondence of Charles Darwin, providing essential context for the development of his theory of evolution and his scientific network."
44,De Trein der Traagheid,Johan Daisne,20th Century Dutch Literature,"A scholarly electronic edition of Daisne's magic realist novel, allowing for the comparison of different textual versions and manuscript stages."
45,Early Stuart Libels,Not specified (Anonymous),Early Modern Political Satire,"A web-based edition of subversive poetry and political libels from the reigns of James I and Charles I, circulating in manuscript form."
46,Folger Shakespeare Editions,William Shakespeare,Renaissance Drama,"High-quality, searchable digital texts of Shakespeare's plays and poems, edited by the Folger Shakespeare Library for scholars and the general public."
47,Frankenstein,Mary Shelley,Romanticism/Gothic,A comparative edition allowing users to view the 1818 and 1831 editions of Frankenstein alongside the original manuscript drafts.
48,Glossae.net,Not specified (Scholars),Medieval Latin Commentary,"A resource dedicated to the study of medieval biblical and legal glosses, providing digital editions of these complex, multi-layered texts."
49,Heinrich-Heine Portal,Heinrich Heine,German Romanticism,"A digital gateway to the complete works and correspondence of Heinrich Heine, integrating the secular historical-critical edition with digital tools."
50,Henrik Ibsens Skrifter,Henrik Ibsen,19th Century Drama,"The complete writings of the Norwegian playwright Henrik Ibsen, including plays, poems, letters, and non-fiction prose, with critical commentary."
51,Mark Twain Project,Mark Twain,19th Century American Literature,"A massive critical edition of Mark Twain's private papers, letters, and published works, offering unprecedented access to his writing process."
52,Niccolò Canussio: De restitutione patriae,Niccolò Canussio,Renaissance Humanist Rhetoric,An electronic edition of a 15th-century humanist dialogue advocating for the restoration of the patriarchal see of Aquileia to Udine.
53,Queste del Saint Graal,Not specified (Anonymous),Medieval French Romance,"A digital edition of the Quest for the Holy Grail, part of the Lancelot-Grail cycle, focusing on the spiritual journey of Galahad."
54,The Auchinleck manuscript,Not specified (Compilers),Medieval English Romance,"A digital facsimile and transcription of the Auchinleck Manuscript, a key source for Middle English romances that likely influenced Chaucer."
55,The Casebooks Project,Simon Forman & Richard Napier,Early Modern Medicine/Astrology,"A digital edition of the astrological medical records of two 17th-century practitioners, documenting thousands of consultations with ordinary people."
56,The Confessions of Augustine: An Electronic Edition,Augustine of Hippo,Late Antique Theology,"A hypertext edition of Augustine's spiritual autobiography, featuring the Latin text with links to commentary and biblical references."
57,The Derveni Papyrus,Not specified (Commentator),Ancient Greek Philosophy,"An edition of the oldest surviving European ""book,"" a papyrus roll containing an allegorical commentary on an Orphic poem."
58,The Gospel according to St. John,Not specified (Evangelist),Biblical Text,"A critical editing project focused on the Greek manuscripts of the Gospel of John, aiming to reconstruct the text's transmission history."
59,The Proceedings of the Old Bailey,Not specified (Court Recorders),Early Modern Legal History,"A fully searchable edition of the proceedings of London's central criminal court from 1674 to 1913, documenting the lives of non-elite citizens."
60,The Richard Brome Project,Richard Brome,Caroline Drama,"A scholarly online edition of the complete plays of Richard Brome, a 17th-century playwright and former servant of Ben Jonson."
61,The Svoboda Diary Project,Alexander Svoboda,19th Century Travelogue,"The personal diaries of a 19th-century teenager traveling from Baghdad to Europe, offering a unique perspective on the Ottoman Empire."
62,William Godwin's Diary,William Godwin,Romantic Radicalism,"A digital transcription of the diary kept by the philosopher William Godwin for 48 years, recording his reading, writing, and social interactions."
63,The Augsburg Web Edition of Llull's Electoral Writings,Ramon Llull,Medieval Philosophy,"A digital edition of Llull's works on voting theory and electoral systems, texts that anticipate modern social choice theory by centuries."
64,Digital Mishnah,Not specified (Rabbis),Rabbinic Judaism,"A project to create a dynamic critical edition of the Mishnah, the first major written collection of the Jewish oral traditions (Oral Torah)."
65,The Online Critical Pseudepigrapha,Not specified (Various),Ancient Religious Texts,"An electronic publication of the Pseudepigrapha, ancient Jewish and Christian religious texts that were not included in the biblical canon."
66,Dead Sea Scrolls,Not specified (Scribes),Ancient Jewish Religious Texts,"A high-resolution digital library of the Dead Sea Scrolls, allowing users to examine these ancient biblical and sectarian manuscripts in detail."
67,Editions of the Registers of the counts of Holland 1299-1345,Not specified (Clerks),Medieval Administrative Records,"A digital edition of the chancery registers of the Counts of Holland, providing crucial data on the administration of the medieval Low Countries."
68,Quijote Interactivo,Miguel de Cervantes,Spanish Golden Age Novel,"An interactive digital version of the first edition of Don Quixote held by the National Library of Spain, enriched with multimedia content."
69,The Journals of the Lewis and Clark Expedition,Lewis and Clark,19th Century Exploration,"The complete journals of the Corps of Discovery's expedition across the western United States, featuring their observations on geography, flora, and fauna."
70,Electronic Boethius CDROM,Alfred the Great (Translator),Anglo-Saxon Prose,"A digital edition of the Old English translation of Boethius's Consolation of Philosophy, traditionally attributed to King Alfred the Great."
71,James Mill's Common Place Books,James Mill,Utilitarian Philosophy,"An edition of the intellectual notebooks of the Scottish philosopher and historian James Mill, revealing the sources and development of his thought."
72,A trial electronic edition of the Preface to 'Ancrene Wisse',Not specified (Anonymous),Middle English Religious Prose,"A pilot project presenting the preface of Ancrene Wisse, a guide for female anchorites, testing TEI markup for medieval manuscripts."
73,Digital Nestle-Aland,Nestle-Aland (Editors),Biblical Textual Criticism,"The digital version of the Novum Testamentum Graece, the standard scholarly edition of the Greek New Testament used by translators and theologians."
74,Orlando Furioso Hypertext,Ludovico Ariosto,Renaissance Epic Poetry,"A hypertextual tool for studying Ariosto's Orlando Furioso, enabling the tracking of characters, themes, and narrative threads across the epic."
75,The Vergil project,Virgil,Classical Latin Epic,"An interactive resource for studying the works of Virgil, particularly the Aeneid, with linked texts, commentaries, and translations."
76,Cantar de mio Cid,Not specified (Anonymous),Medieval Spanish Epic,"A digital presentation of the unique manuscript of the Poema de mio Cid, the foundational text of Spanish literature, with audio and images."
77,The Aberdeen Bestiary,Not specified (Anonymous),Medieval Bestiary,"A complete digital facsimile and transcription of a lavishly illuminated 12th-century bestiary, describing animals and their moral allegories."
78,M. Valerii Martialis Epigrammaton Liber IV,Martial,Classical Latin Satire,"A critical digital edition of the fourth book of Martial's Epigrams, known for their wit, satire, and vivid depiction of Roman life."
79,P. Ovidii Nasonis Heroides I,Ovid,Classical Latin Poetry,"A commentary and text of Ovid's first Heroide (Penelope to Ulysses), exploring the genre of the fictional poetic letter."
80,Sexti Propertii Elegiae,Propertius,Classical Latin Elegy,"A digital edition of the elegies of Propertius, focusing on his complex love poetry and mythological allusions."
81,Sulpiciae Conquestio,Sulpicia (Pseudo),Classical Latin Elegy,"An edition of a short satirical poem often attributed to Sulpicia, complaining about the state of the age under Domitian."
82,Claudii Claudiani Carmina Latina,Claudian,Late Antique Latin Poetry,"A collection of the Latin poems of Claudian, the last major poet of the Western Roman Empire, including his political panegyrics."
83,D. Iunii Iuvenalis Saturae,Juvenal,Classical Latin Satire,"An electronic text of Juvenal's Satires, the bitter and ironic poems that critique the corruption and vices of Roman society."
84,Codice Diplomatico della Lombardia Medievale,Not specified (Notaries),Medieval Administrative Records,"A massive collection of charters and diplomatic documents from medieval Lombardy, essential for the study of northern Italian history."
85,Geoffrey Chaucer's Book of the Duchess: A Hypertext Edition,Geoffrey Chaucer,Middle English Poetry,"A hypertext edition of Chaucer's earliest major poem, an elegy for Blanche of Lancaster, designed to explore its textual variants."
86,Inscriptiones Graecae in Croatia Repertae (IGCR),Not specified (Inscribers),Ancient Greek Epigraphy,"A digital corpus of Greek inscriptions found in the territory of modern Croatia, documenting the Greek presence on the Adriatic coast."
87,The Gascon Rolls Project,Not specified (Royal Clerks),Medieval Administrative Records,"A calendar and edition of the Gascon Rolls, recording the English administration of the Duchy of Aquitaine (Gascony) from 1317 to 1468."
88,The Hengwrt Chaucer Digital Facsimile,Geoffrey Chaucer,Middle English Poetry,"High-resolution images and transcripts of the Hengwrt manuscript of the Canterbury Tales, considered one of the most textually accurate early copies."
89,Carl-Maria-von-Weber-Gesamtausgabe,Carl Maria von Weber,Romantic Music,"A complete critical edition of the musical works, letters, and diaries of the composer Carl Maria von Weber."
90,Livingstone's 1871 Field Diary,David Livingstone,19th Century Exploration,"A multispectral imaging project recovering the faded text of Livingstone's field diary from 1871, written on newspaper scraps in berry juice."
91,Hyperdonat,Aelius Donatus,Late Antique Grammar,"A hypertext edition of the commentaries on Terence attributed to the grammarian Donatus, exploring the history of Latin scholarship."
92,Inscriptions of Aphrodisias Project,Not specified (Inscribers),Classical/Byzantine Epigraphy,"A complete digital corpus of the inscriptions from the ancient city of Aphrodisias in Turkey, covering the Roman and Byzantine periods."
93,Inscriptions of Roman Cyrenaica,Not specified (Inscribers),Classical Epigraphy,A comprehensive collection of Greek and Latin inscriptions from the Roman province of Cyrenaica (modern Libya).
94,Inscriptions of Roman Tripolitania,Not specified (Inscribers),Classical Epigraphy,"A digital edition of the inscriptions from Roman Tripolitania (western Libya), updating the standard printed corpus with new finds."
95,e-sequence: Digital Edition of the Saint Gall corpus of Sequences,Notker Balbulus,Medieval Liturgy/Music,"A critical edition of the sequences (liturgical chants) composed by the monk Notker of St. Gall, integrating text and music."
96,Phineas Fletcher's Sylva Poetica,Phineas Fletcher,Neo-Latin Poetry,An edition of the Latin poetry collection Sylva Poetica by the 17th-century English poet Phineas Fletcher.
97,The Latin Prose and Poetry of Joseph Addison,Joseph Addison,Neo-Latin Literature,"A collection of the Latin writings of the essayist Joseph Addison, showcasing his classical learning and poetic skill."
98,History in the Making: Flaubert's L'Education Sentimentale,Gustave Flaubert,19th Century Novel,"A genetic edition of a specific chapter of L'Éducation sentimentale, visualizing the complex drafting process of Flaubert's manuscript."
99,An electronic corpus of 15th century Castillian canconiero manuscripts,Not specified (Poets),Medieval Spanish Poetry,"A digital archive of the cancioneros, the songbooks that preserved the courtly lyric poetry of 15th-century Castile."
100,"Galenus' commentary on Hippocrates' ""On the articulations""",Galen,Ancient Medicine,"An edition of the Arabic translation of Galen's commentary on Hippocrates' treatise on joints, critical for the history of medicine."
101,Edition der falschen Kapitularien des Benedictus Levita,Benedictus Levita,Medieval Canon Law,"A scholarly edition of the False Capitularies, a famous 9th-century forgery of church law attributed to a fictitious deacon named Benedict."
102,The Royal Inscriptions of the Neo-Assyrian Period,Not specified (Scribes),Ancient Near Eastern Epigraphy,"A standardized online corpus of the royal inscriptions of the Neo-Assyrian kings, recording their military campaigns and building projects."
103,Book of Margery Kempe,Margery Kempe,Medieval Mysticism,"A digital facsimile and transcription of the unique manuscript of The Book of Margery Kempe, the earliest autobiography in English."
104,William of Ockham: Dialogus,William of Ockham,Medieval Political Philosophy,"An edition of Ockham's Dialogus, a major treatise on heresy, papal power, and the rights of subjects vs. rulers."
105,Domesday Explorer,Not specified (Scribes),Medieval Administrative Records,"A digital database of the Domesday Book, the great survey of England commissioned by William the Conqueror in 1086."
106,Chopin's First Editions Online,Frédéric Chopin,Romantic Music,"A digital resource uniting all the diverse first impressions of Chopin's music from his original French, German, and English publishers."
107,Jane Austen's Fiction Manuscripts,Jane Austen,Regency Literature,"A digital reunification of all surviving fiction manuscripts of Jane Austen, allowing study of her drafting and editing process."
108,The Walt Whitman Archive,Walt Whitman,19th Century American Poetry,"An exhaustive archive of Whitman's work, including all editions of Leaves of Grass, manuscripts, notebooks, and correspondence."
109,Schenker Documents Online,Heinrich Schenker,Music Theory,"An edition of the personal papers, diaries, and lesson books of the influential music theorist Heinrich Schenker."
110,Online Chopin Variorum Edition,Frédéric Chopin,Romantic Music,A tool for comparing the various early printed sources of Chopin's music to analyze textual discrepancies and evolutionary changes.
111,John Foxe's The Acts and Monuments Online,John Foxe,Early Modern History,"A digital edition of the four massive unabridged editions of Foxe's ""Book of Martyrs"" published during his lifetime."
112,Oregon Petrarch Open Book Project,Francesco Petrarca,Renaissance Humanism,"A hypertext edition of Petrarch's Canzoniere (Rerum vulgarium fragmenta), exploring the structure and imagery of his sonnet sequence."
113,Conclusiones CM,Giovanni Pico della Mirandola,Renaissance Philosophy,"A digital text of the 900 Theses proposing a universal syncretism of philosophy and religion, for which Pico was accused of heresy."
114,Decameron Web,Giovanni Boccaccio,Medieval Italian Prose,"A comprehensive project dedicated to the Decameron, featuring the text, translations, historical context, and critical essays."
115,Pico della Mirandola: De hominis dignitate,Giovanni Pico della Mirandola,Renaissance Philosophy,"An edition of the Oration on the Dignity of Man, the famous ""manifesto of the Renaissance"" defending human free will and potential."
116,Inscriptions of Israel/Palestine,Not specified (Inscribers),Ancient Epigraphy,"A database of inscriptions from the region of Israel/Palestine dating from the Persian period to the Islamic conquest, in multiple languages."
117,Parzival-Projekt,Wolfram von Eschenbach,Medieval German Romance,"A comprehensive electronic edition of the medieval Grail romance Parzival, presenting facsimiles and transcriptions of all major manuscripts."
118,Decameron Ipertestuale,Giovanni Boccaccio,Medieval Italian Prose,A hypertextual edition of the Decameron focusing on the intertextual and structural relationships within the narrative collection.
119,Percy Bysshe Shelley: The Devil's Walk,Percy Bysshe Shelley,Romantic Poetry,"An edition of Shelley's broadside ballad ""The Devil's Walk,"" a satire on the British government and social conditions."
120,Poems by Anna Laetitia Aikin,Anna Laetitia Barbauld,18th Century Poetry,A digital edition of the 1773 collection of poems that launched the career of the influential writer and dissenter Anna Laetitia Barbauld.
121,The Letters of Robert Bloomfield,Robert Bloomfield,Romantic Poetry,"The collected correspondence of the ""peasant poet"" Robert Bloomfield, shedding light on working-class literary life in the Romantic era."
122,The Shelley-Godwin Archive,Shelley & Godwin,Romantic Literature,"An archive digitizing the manuscripts of Percy Bysshe Shelley, Mary Shelley, William Godwin, and Mary Wollstonecraft."
123,Thomas Lovell Beddoes: The Brides' Tragedy,Thomas Lovell Beddoes,Romantic Drama,"An edition of Beddoes' macabre and Jacobean-influenced tragedy, exploring themes of love, murder, and the supernatural."
124,The Online Froissart,Jean Froissart,Medieval History,"A digital edition of Froissart's Chronicles, a major source for the Hundred Years' War, presenting the text alongside manuscript illuminations."
125,Welsh Prose 1350-1425,Not specified (Various),Medieval Welsh Prose,"A corpus of Middle Welsh prose texts, providing a basis for linguistic analysis and the study of Welsh narrative tradition."
126,The Newton Project,Isaac Newton,Early Modern Science,"A complete online edition of Newton's writings, including his scientific masterpieces as well as his extensive theological and alchemical papers."
127,Vercelli Book Digitale,Not specified (Compilers),Anglo-Saxon Literature,"A digital facsimile and edition of the Vercelli Book, one of the four major poetic codices of Old English literature."
128,I testimoni della Vita Nova,Dante Alighieri,Medieval Italian Poetry,"A project analyzing the manuscript tradition of Dante's Vita Nova, his prosimetrum about his love for Beatrice."
129,"Frankenstein; or, the Modern Prometheus",Mary Shelley,Romantic Fiction,"A specialized resource focusing on the text of Frankenstein, offering widely accessible versions and scholarly contexts."
130,Livingstone Online,David Livingstone,19th Century Exploration,"A digital museum and library dedicated to the life and work of David Livingstone, featuring his field diaries, letters, and maps."
131,Edizione Critica Ipertestuale dello Zibaldone Laurenziano,Giovanni Boccaccio,Medieval Scholarship,"A critical hypertext edition of the Zibaldone Laurenziano, Boccaccio's personal autograph notebook containing literary and student texts."
132,A Social Edition of the Devonshire MS,Not specified (Tudor Court),Early Modern Poetry,"An edition of a verse miscellany compiled by women at the court of Anne Boleyn, annotated through a process of ""social"" community editing."
133,Les Bibliothèques Virtuelles Humanistes,Not specified (Humanists),Renaissance Humanism,"A digital library providing facsimiles of French Renaissance books and manuscripts, focusing on the spread of humanism."
134,The Paris Codex,Not specified (Maya Scribes),Maya Astronomy,"A digital presentation of one of the few surviving pre-Columbian Maya books, detailing zodiacal constellations and calendar cycles."
135,The Memorandoms of James Martin,James Martin,Convict Narrative,"The only known First Fleet convict narrative, recounting James Martin's escape from Botany Bay and arduous open-boat journey to Timor."
136,Actes Royaux,Not specified (Royal Clerks),Medieval History,"A database of French royal acts and charters from the Middle Ages, serving as a primary source for legal and political history."
137,American Verse Project,Not specified (Various),American Poetry,"An electronic archive of volumes of American poetry prior to 1920, searchable by full text."
138,Bernard Muir's CD-ROM facsimile of Bodleian Library MS Junius 11,Not specified (Various),Anglo-Saxon Poetry,"A digital facsimile of the Junius 11 manuscript, the ""Caedmon manuscript,"" containing Old English biblical poetry like Genesis and Exodus."
139,Candide 2.0,Voltaire,Enlightenment Satire,"An enriched digital edition of Voltaire's Candide, featuring the text alongside manuscript variants, illustrations, and commentary."
140,Chronik des Gettos Łódź / Litzmannstadt,Not specified (Ghetto Inhabitants),Holocaust History,"A digital edition of the chronicle kept by Jewish inhabitants of the Łódź Ghetto, recording the daily struggle for survival under Nazi occupation."
141,Clotel by William Wells Brown,William Wells Brown,Abolitionist Fiction,"An electronic edition of the first novel published by an African American, exploring the tragic lives of the mixed-race daughters of Thomas Jefferson."
142,DASI: Digital Archive for the Study of Pre-Islamic Arabian Inscriptions,Not specified (Inscribers),Ancient Epigraphy,"An archive of inscriptions from pre-Islamic Arabia, documenting the languages and cultures of the peninsula before the rise of Islam."
143,"Datini, Lettere",Francesco Datini,Medieval Correspondence,"The massive business and personal correspondence of the ""Merchant of Prato,"" offering vivid details of 14th-century trade and daily life."
144,Digital Shikshapatri,Swaminarayan,Hindu Religious Text,"A digital presentation of the Shikshapatri, a key scripture of the Swaminarayan sect of Hinduism, outlining a code of conduct for devotees."
145,Electronic Beowulf 4.0,Not specified (Poet),Anglo-Saxon Epic,"A celebrated digital edition of the Beowulf manuscript, providing high-resolution images, transcripts, and tools for paleo-graphical study."
146,Emily Dickinson's Archive,Emily Dickinson,American Poetry,"An open-access collection of high-resolution images of Emily Dickinson’s surviving manuscripts, allowing readers to see her unique visual poetics."
147,Emily Dickinson's Correspondences,Emily Dickinson,American Literature,"A digital edition of Dickinson's letters, treating them as literary texts in their own right and revealing her intense personal relationships."
148,Gabriel Harvey's Livy Online,Gabriel Harvey,Early Modern Marginalia,"An edition of Gabriel Harvey's annotated copy of Livy's History of Rome, a prime example of how Renaissance readers engaged with classical texts."
149,Galileo Galilei's Notes on Motion,Galileo Galilei,Early Modern Science,"A digital reconstruction of Galileo's manuscript notes on motion, documenting the experiments that led to his laws of falling bodies."
150,Göttinger Statuten (kundige bok 2),Not specified (City Council),Medieval Legal History,"An edition of the ""Kundige Bok,"" the statute book of the city of Göttingen, recording medieval municipal laws and regulations."
151,Herman Melville's Typee,Herman Melville,American Fiction,"A fluid-text edition of Melville's first novel, Typee, showing the revisions made to the manuscript and the differences between early editions."
152,In Mozart's Words,Mozart,Classical Music,"A multilingual digital edition of the correspondence of Mozart and his family, providing insight into his life, travels, and musical career."
153,Intibah Edition and Transcription,Namık Kemal,Ottoman Literature,"A digital transcription and edition of Intibah (Awakening), considered the first literary novel of the Ottoman Tanzimat period."
154,Jerilderie Letter,Ned Kelly,Australian History,"A digital presentation of the famous 8,000-word letter dictated by the outlaw Ned Kelly, justifying his actions and criticizing police corruption."
155,John Barclay: Argenis,John Barclay,Neo-Latin Novel,"An online edition of Argenis, a highly influential 17th-century political romance written in Latin that was read across Europe."
156,Journal of Emily Shore,Emily Shore,19th Century Diary,"The diary of a precocious young Englishwoman who died of consumption at 19, recording her intellectual development and natural history observations."
157,Lautréamont / Ducasse,Lautréamont,French Poetry,"A digital archive of the works of Isidore Ducasse (Lautréamont), the precursor to Surrealism known for Les Chants de Maldoror."
158,Le Cartulaire de la seigneurie de Nesle,Not specified (Clerics),Medieval Cartulary,"An edition of the cartulary of the Lordship of Nesle, preserving charters and documents related to the administration of this French fiefdom."
159,Martha Ballard's Diary Online,Martha Ballard,Early American Diary,"The diary of a Maine midwife from 1785-1812, recording thousands of births and providing a detailed account of the domestic economy of the time."
160,Olive Schreiner Letters Online,Olive Schreiner,South African Literature,"The collected letters of the South African writer and feminist Olive Schreiner, author of The Story of an African Farm."
161,Online Electronic Variorum of the Works of Rabindranath Tagore,Rabindranath Tagore,Bengali Literature,"A variorum edition of the works of the Nobel laureate Tagore, allowing for the comparison of different versions of his poems and songs."
162,Ordonnances de l'hôtel du roi,Not specified (Royal Clerks),Medieval History,"An edition of the ordinances regulating the French King's household (Hôtel du Roi), detailing court hierarchy, etiquette, and logistics."
163,Septuaginta LXX,Not specified (Translators),Biblical Text,A project providing the text of the Septuagint (the Greek Old Testament) alongside translations and textual tools.
